# file...... feeder_power.csv
# date...... Tue Jan 24 15:06:23 2017
# user...... D3P313
# host...... (null)
# target.... transformer 29
# trigger... (none)
# interval.. 60
# limit..... 9600
# timestamp,power_in.real,power_in.imag
2000-09-01 05:04:00 PDT,+4.32579e+006,-34775.9
2000-09-01 05:05:00 PDT,+4.33842e+006,-32248.3
2000-09-01 05:06:00 PDT,+4.32837e+006,-34893.9
2000-09-01 05:07:00 PDT,+4.317e+006,-37779.4
2000-09-01 05:08:00 PDT,+4.31115e+006,-40817.5
2000-09-01 05:09:00 PDT,+4.30038e+006,-43440.5
2000-09-01 05:10:00 PDT,+4.31904e+006,-42041.8
2000-09-01 05:11:00 PDT,+4.3263e+006,-38652.5
2000-09-01 05:12:00 PDT,+4.29673e+006,-44551.2
2000-09-01 05:13:00 PDT,+4.33655e+006,-42256.4
2000-09-01 05:14:00 PDT,+4.3439e+006,-42230.8
2000-09-01 05:15:00 PDT,+4.32837e+006,-42844.7
2000-09-01 05:16:00 PDT,+4.34541e+006,-41707.8
2000-09-01 05:17:00 PDT,+4.39667e+006,-33387.2
2000-09-01 05:18:00 PDT,+4.41875e+006,-29945
2000-09-01 05:19:00 PDT,+4.44295e+006,-24703.4
2000-09-01 05:20:00 PDT,+4.45344e+006,-22161.5
2000-09-01 05:21:00 PDT,+4.4356e+006,-23955.7
2000-09-01 05:22:00 PDT,+4.51877e+006,-6088.89
2000-09-01 05:23:00 PDT,+4.53679e+006,+1401.77
2000-09-01 05:24:00 PDT,+4.56592e+006,+4059.34
2000-09-01 05:25:00 PDT,+4.56258e+006,+3400.45
2000-09-01 05:26:00 PDT,+4.61915e+006,+11934
2000-09-01 05:27:00 PDT,+4.60209e+006,+9821.85
2000-09-01 05:28:00 PDT,+4.63402e+006,+12161.9
2000-09-01 05:29:00 PDT,+4.6085e+006,+7053.34
2000-09-01 05:30:00 PDT,+4.6026e+006,+8192.29
2000-09-01 05:31:00 PDT,+4.64533e+006,+19650.5
2000-09-01 05:32:00 PDT,+4.66203e+006,+20047.6
2000-09-01 05:33:00 PDT,+4.64745e+006,+19971.8
2000-09-01 05:34:00 PDT,+4.67072e+006,+26020.3
2000-09-01 05:35:00 PDT,+4.65636e+006,+25428
2000-09-01 05:36:00 PDT,+4.61255e+006,+19498.1
2000-09-01 05:37:00 PDT,+4.62021e+006,+23091.9
2000-09-01 05:38:00 PDT,+4.61469e+006,+22665.6
2000-09-01 05:39:00 PDT,+4.66226e+006,+32019.3
2000-09-01 05:40:00 PDT,+4.68598e+006,+39629.6
2000-09-01 05:41:00 PDT,+4.66123e+006,+37358.7
2000-09-01 05:42:00 PDT,+4.63203e+006,+33561.2
2000-09-01 05:43:00 PDT,+4.643e+006,+34634.6
2000-09-01 05:44:00 PDT,+4.63452e+006,+35442
2000-09-01 05:45:00 PDT,+4.65563e+006,+41724.5
2000-09-01 05:46:00 PDT,+4.65353e+006,+41366
2000-09-01 05:47:00 PDT,+4.67108e+006,+43553.1
2000-09-01 05:48:00 PDT,+4.62757e+006,+33821.4
2000-09-01 05:49:00 PDT,+4.61869e+006,+34253.9
2000-09-01 05:50:00 PDT,+4.62509e+006,+36247.8
2000-09-01 05:51:00 PDT,+4.65273e+006,+43681.3
2000-09-01 05:52:00 PDT,+4.689e+006,+50043.7
2000-09-01 05:53:00 PDT,+4.66946e+006,+42897.2
2000-09-01 05:54:00 PDT,+4.65466e+006,+35289
2000-09-01 05:55:00 PDT,+4.66618e+006,+34125.3
2000-09-01 05:56:00 PDT,+4.65684e+006,+33776.7
2000-09-01 05:57:00 PDT,+4.69591e+006,+43747.2
2000-09-01 05:58:00 PDT,+4.72634e+006,+47027.2
2000-09-01 05:59:00 PDT,+4.73316e+006,+51376.1
2000-09-01 06:00:00 PDT,+4.73529e+006,+51277.6
2000-09-01 06:01:00 PDT,+4.7596e+006,+55569.8
2000-09-01 06:02:00 PDT,+4.74505e+006,+52824.8
2000-09-01 06:03:00 PDT,+4.70809e+006,+45684.3
2000-09-01 06:04:00 PDT,+4.71442e+006,+52537
2000-09-01 06:05:00 PDT,+4.70054e+006,+46655.2
2000-09-01 06:06:00 PDT,+4.72842e+006,+50258.9
2000-09-01 06:07:00 PDT,+4.72207e+006,+49599.9
2000-09-01 06:08:00 PDT,+4.72025e+006,+48469.1
2000-09-01 06:09:00 PDT,+4.73754e+006,+53770.5
2000-09-01 06:10:00 PDT,+4.77433e+006,+63931.4
2000-09-01 06:11:00 PDT,+4.81636e+006,+72305.8
2000-09-01 06:12:00 PDT,+4.80729e+006,+71014.5
2000-09-01 06:13:00 PDT,+4.81871e+006,+72823.5
2000-09-01 06:14:00 PDT,+4.82668e+006,+71378.5
2000-09-01 06:15:00 PDT,+4.81901e+006,+75426.7
2000-09-01 06:16:00 PDT,+4.85247e+006,+79899.2
2000-09-01 06:17:00 PDT,+4.82356e+006,+75850.2
2000-09-01 06:18:00 PDT,+4.78144e+006,+69849.5
2000-09-01 06:19:00 PDT,+4.80545e+006,+75556.9
2000-09-01 06:20:00 PDT,+4.74561e+006,+64036.3
2000-09-01 06:21:00 PDT,+4.78562e+006,+71543.2
2000-09-01 06:22:00 PDT,+4.80322e+006,+73032.5
2000-09-01 06:23:00 PDT,+4.74304e+006,+60232.4
2000-09-01 06:24:00 PDT,+4.68233e+006,+46278.8
2000-09-01 06:25:00 PDT,+4.6812e+006,+45975.5
2000-09-01 06:26:00 PDT,+4.67273e+006,+39240.6
2000-09-01 06:27:00 PDT,+4.68529e+006,+40957.2
2000-09-01 06:28:00 PDT,+4.69041e+006,+42151.9
2000-09-01 06:29:00 PDT,+4.65692e+006,+34407
2000-09-01 06:30:00 PDT,+4.70587e+006,+42975.3
2000-09-01 06:31:00 PDT,+4.75049e+006,+56039.1
2000-09-01 06:32:00 PDT,+4.71058e+006,+51452.2
2000-09-01 06:33:00 PDT,+4.74855e+006,+62523.6
2000-09-01 06:34:00 PDT,+4.70495e+006,+56495.8
